"Method","Path","TestedPath","Controller","Source","BackendStatus","ProxyStatus","BackendReachable","ProxyReachable","BothReachable"
"DELETE","/api/backup/{backupPath}","/api/backup/1","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:140","403","403","True","True","True"
"DELETE","/api/backup/cleanup","/api/backup/cleanup","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:177","403","403","True","True","True"
"DELETE","/api/cloud-storage/configs/{configId}","/api/cloud-storage/configs/1","CloudStorageController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\CloudStorageController.java:120","403","403","True","True","True"
"DELETE","/api/files/{fileId}","/api/files/1","FileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\FileController.java:126","403","403","True","True","True"
"DELETE","/api/mobile/files/{fileId}/favorite","/api/mobile/files/1/favorite","MobileFileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileFileController.java:74","403","403","True","True","True"
"DELETE","/api/monitoring/cleanup","/api/monitoring/cleanup","MonitoringController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\MonitoringController.java:153","403","403","True","True","True"
"DELETE","/api/recommendations/cleanup","/api/recommendations/cleanup","RecommendationController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\RecommendationController.java:165","403","403","True","True","True"
"GET","/api/ai/analyze-behavior","/api/ai/analyze-behavior","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:306","403","403","True","True","True"
"GET","/api/ai/models","/api/ai/models","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:425","403","403","True","True","True"
"GET","/api/ai/smart-search","/api/ai/smart-search","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:265","403","403","True","True","True"
